customer_id,email,phone,age,registration_date,purchase_amount,status
1,user1@gmail.com,+79423734972,36,2024-06-10,44131,Regular
2,user2@gmail.com,+79780932287,50,2025-08-21,-8766,Regular
3,,+79999745294,64,2023-04-20,31551,VIP
4,user4@yandex.ru,,31,2023-07-28,-7141,Regular
5,user5@yandex.ru,+79147697582,34,2023-04-24,1021,Regular
6,user6@yandex.ru,+79107944665,27,2024-12-16,11534,Regular
7,user7@gmail.com,+79091693393,41,2023-08-10,39976,VIP
8,user8@,+79853477355,28,2024-08-16,12666,Premium
9,user9@gmail.com,+79856634123,40,2023-06-30,10965,Premium
10,user10@gmail.com,+79952321028,31,2024-08-15,22361,Premium
11,user11@gmail.com,+79271766524,47,2025-01-24,33827,VIP
12,user12@yandex.ru,+79249625132,23,2024-01-01,48925,Premium
13,user13@gmail.com,+79472669408,44,2023-12-24,9474,Premium
14,user14@yandex.ru,+79083375337,32,2023-11-10,3304,Regular
15,@gmail.com,+79007654909,20,2023-12-27,49850,VIP
16,user16@yandex.ru,+79577034624,19,2023-09-13,21919,Regular
17,user17@yandex.ru,+79505874711,51,2023-03-20,22671,VIP
18,user18@gmail.com,+79326241019,36,2024-04-19,2911,Regular
19,user19@yandex.ru,+79376712039,45,2023-02-09,20445,Premium
20,user20@gmail.com,+79127348283,18,2023-11-30,29855,Regular
21,user21@gmail.com,+79456659347,50,2024-02-03,5539,Regular
14,user22@yandex.ru,+79960628888,150,2023-06-13,46760,VIP
23,user23@gmail.com,+79426161286,50,2023-01-31,19830,Regular
24,user24@yandex.ru,+79563236122,38,2024-12-02,5600,Premium
25,user25@gmail.com,+79187276799,45,2025-07-28,47202,VIP
26,user26@gmail.com,+79989266619,38,2025-04-04,26641,VIP
27,user27@gmail.com,,64,2023-01-24,10729,Regular
4,user28@yandex.ru,+79226860070,43,2023-03-06,23355,Premium
29,user29@gmail.com,+79196678031,999,2025-06-12,10966,Premium
30,user30@gmail.com,+79390125881,59,2025-07-20,27236,VIP
31,user31@gmail.com,+79395236101,150,2023-06-12,39567,VIP
32,user32@yandex.ru,+79788215570,43,2026-01-07,1150,Regular
33,user33@yandex.ru,,42,2023-04-11,13500,Premium
34,user34@gmail.com,,54,2024-12-01,44078,VIP
35,user35@yandex.ru,,38,2024-11-27,37220,Regular
36,user36@gmail.com,+79065732489,49,2024-10-22,27663,Regular
37,user37@gmail.com,+79760932235,50,2023-10-22,38155,Regular
38,user38@yandex.ru,+79921653259,19,2026-05-12,27472,Premium
39,user39@yandex.ru,+79136815208,62,2024-09-01,23548,VIP
40,user40@gmail.com,+79994919522,35,2025-06-08,7357,Regular
41,user41@gmail.com,+79442913640,37,2024-10-05,39954,VIP
42,user42@gmail.com,+79888203035,36,2025-04-21,37259,VIP
43,user43@gmail.com,+79487326758,150,2024-08-10,9348,Premium
44,user44@yandex.ru,,61,2025-01-25,46732,Premium
45,user45@yandex.ru,+79349204103,18,2023-11-25,37080,VIP
46,user46@yandex.ru,+79250844341,27,2025-08-04,20652,VIP
47,user47@gmail.com,+79312632190,18,2024-09-29,33982,VIP
48,user48@yandex.ru,+79978825900,64,2023-04-10,11003,Premium
49,user49@yandex.ru,,32,2024-09-04,3330,Regular
